product_category_name_english,avg_price,num_orders,avg_review_score,avg_freight,price_rank,demand_rank,review_rank,pricing_opportunity_score
bed_bath_table,93.2508083407276,11270,3.8956631049654304,18.389787045252884,0.32075471698113206,1.0,0.1320754716981132,0.3886792452830189
health_beauty,129.8590048319112,9727,4.1427682737169516,18.863322709982523,0.5471698113207547,0.9811320754716981,0.660377358490566,0.5471698113207548
sports_leisure,114.213391954023,8700,4.107986111111111,19.502697701149426,0.4339622641509434,0.9622641509433962,0.6226415094339622,0.5471698113207548
furniture_decor,87.49643137254901,8415,3.9034929780338494,20.72496494355318,0.22641509433962265,0.9433962264150944,0.1509433962264151,0.39245283018867927
computers_accessories,116.49867494299468,7894,3.9308192126385526,18.80288066886243,0.4716981132075472,0.9245283018867925,0.18867924528301888,0.3509433962264151
housewares,90.79161539562169,6989,4.055019444044361,20.9797438832451,0.2641509433962264,0.9056603773584906,0.5471698113207547,0.5283018867924529
watches_gifts,200.97905849025165,6001,4.019159663865546,16.778215297450426,0.8679245283018868,0.8867924528301887,0.3584905660377358,0.32452830188679244
telephony,71.17349450549452,4550,3.946867389860527,15.681665934065935,0.11320754716981132,0.8679245283018868,0.24528301886792453,0.4226415094339623
garden_tools,111.54149277688603,4361,4.042735042735043,22.750307268975003,0.41509433962264153,0.8490566037735849,0.4528301886792453,0.4377358490566039
auto,139.65298402255638,4256,4.065511511986708,21.854109492481204,0.6981132075471698,0.8301886792452831,0.5660377358490566,0.418867924528302
toys,117.51997575757576,4125,4.158640919090687,18.797738181818183,0.5094339622641509,0.8113207547169812,0.7735849056603774,0.5320754716981133
cool_stuff,167.4352364687336,3806,4.146341463414634,22.131999474513925,0.8113207547169812,0.7924528301886793,0.7169811320754716,0.4415094339622642
perfumery,116.5103173216885,3435,4.161940952937737,15.851994177583697,0.49056603773584906,0.7735849056603774,0.7924528301886793,0.5283018867924529
baby,134.10916693784577,3073,4.011811023622047,22.300615034168562,0.5660377358490566,0.7547169811320755,0.33962264150943394,0.3245283018867925
electronics,57.93953757225434,2768,4.037468170243725,16.83980852601156,0.07547169811320754,0.7358490566037735,0.4339622641509434,0.4528301886792453
stationery,91.60404356435643,2525,4.193857199840447,18.58373861386139,0.3018867924528302,0.7169811320754716,0.8679245283018868,0.5735849056603775
fashion_bags_accessories,74.95458536585366,2050,4.144678764100049,15.50210731707317,0.16981132075471697,0.6981132075471698,0.6981132075471698,0.5245283018867924
pet_shop,110.10334017444843,1949,4.185146982980918,20.31779374037968,0.39622641509433965,0.6792452830188679,0.8490566037735849,0.5320754716981133
office_furniture,161.80158142269252,1701,3.4931831653823355,40.481052322163436,0.7735849056603774,0.660377358490566,0.018867924528301886,0.11698113207547167
consoles_games,138.84026362038665,1138,4.0230700976042595,17.437891036906855,0.660377358490566,0.6415094339622641,0.41509433962264153,0.2905660377358491
luggage_accessories,128.5988827838828,1092,4.315257352941177,27.880247252747253,0.5283018867924528,0.6226415094339622,0.9245283018867925,0.5132075471698114
construction_tools_construction,156.29365198711065,931,4.052915766738661,22.223469387755102,0.7547169811320755,0.6037735849056604,0.49056603773584906,0.28679245283018867
home_appliances,102.83757725587145,809,4.172456575682382,19.23709517923362,0.33962264150943394,0.5849056603773585,0.8113207547169812,0.49056603773584917
small_appliances,280.48532942898976,683,4.149187592319055,23.667218155197656,0.9245283018867925,0.5660377358490566,0.7358490566037735,0.33584905660377357
musical_instruments,281.2390308370044,681,4.152592592592592,27.38538913362702,0.9433962264150944,0.5471698113207547,0.7547169811320755,0.3320754716981133
home_construction,137.5338347107438,605,3.94,22.882809917355374,0.6415094339622641,0.5283018867924528,0.22641509433962265,0.1735849056603774
books_general_interest,84.73215189873417,553,4.446265938069216,16.62842676311031,0.20754716981132076,0.5094339622641509,1.0,0.5622641509433963
food,57.63413725490196,510,4.218181818181818,14.256921568627451,0.05660377358490566,0.49056603773584906,0.8867924528301887,0.5396226415094341
furniture_living_room,136.93739644970412,507,3.904382470119522,35.69368836291913,0.6226415094339622,0.4716981132075472,0.16981132075471697,0.1320754716981132
home_confort,134.6195423340961,437,3.829885057471264,19.568581235697938,0.5849056603773585,0.4528301886792453,0.09433962264150944,0.1018867924528302
drinks,58.762140992167105,383,4.047745358090186,15.112715404699738,0.09433962264150944,0.4339622641509434,0.4716981132075472,0.3433962264150944
audio,139.00931506849315,365,3.8254847645429364,15.683671232876712,0.6792452830188679,0.41509433962264153,0.07547169811320754,0.06037735849056605
market_place,91.2490996784566,311,4.019417475728155,17.543601286173633,0.2830188679245283,0.39622641509433965,0.37735849056603776,0.25283018867924534
construction_tools_lights,135.4360655737705,305,4.054054054054054,24.952065573770494,0.6037735849056604,0.37735849056603776,0.5094339622641509,0.23396226415094343
air_conditioning,185.26922558922558,297,3.969178082191781,22.724680134680135,0.8490566037735849,0.3584905660377358,0.2830188679245283,0.08679245283018866
kitchen_dining_laundry_garden_furniture,164.74244680851064,282,3.9642857142857144,42.8563475177305,0.7924528301886793,0.33962264150943394,0.2641509433962264,0.08301886792452828
food_drink,54.537392857142855,280,4.315412186379929,16.272607142857144,0.018867924528301886,0.32075471698113206,0.9433962264150944,0.5018867924528302
industry_commerce_and_business,147.75319702602232,269,4.101503759398496,29.389219330855017,0.7169811320754716,0.29245283018867924,0.6037735849056604,0.21509433962264154
books_technical,71.18598513011152,269,4.368421052631579,16.013011152416357,0.1320754716981132,0.29245283018867924,0.9622641509433962,0.47547169811320755
